# Transcripción: chunk_024.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  The others, 5,000.
[0:29:51]  So 2011 though, Apple starts adding the Emoji keyboard
[0:29:55]  and it just like explodes.
[0:29:57]  Like I feel like in some ways Emoji
[0:30:00]  were not like invented, they were discovered.
[0:30:02]  They like obviously touch something very, very primal
[0:30:05]  to like our human desire to like communicate
[0:30:10]  in like little colorful glyphs on electronic devices.
[0:30:13]  And you kind of have, what's kind of really interesting
[0:30:15]  is like the ambiguity that comes
[0:30:19]  with what Emoji kind of mean.
[0:30:21]  And so one of the, this is one of my favorite Emoji,
[0:30:23]  it's sort of like an upside down spine face,
[0:30:25]  very, very ambiguous, clearly very ambiguous,
[0:30:27]  because if you start typing into Google,
[0:30:29]  like the top hits are like, what does it mean from a guy?
[0:30:31]  What does it mean from a girl?
[0:30:32]  Like it's clearly something that a lot of people
[0:30:35]  are using in like complex situationships
[0:30:37]  between each other.
[0:30:38]  So one of the fun things is who can propose Emoji.
[0:30:44]  Technically anyone can, anyone here can,
[0:30:46]  normal humans can.
[0:30:47]  We have basically Google Doc or Google Form
[0:30:50]  that we throw up historically between August,
[0:30:53]  sorry, April and August in the last two years.
[0:30:56]  And so this is one of our favorite examples.
[0:31:00]  This is Rayouf Ahoumadi.
[0:31:02]  She was a 15 year old Saudi Arabian girl
[0:31:04]  who was living in Vienna at the time
[0:31:06]  that she proposed the hijab emoji.
[0:31:10]  And then, you know, then she was like Time Magazine,
[0:31:12]  like, you know, Coolest Teens.
[0:31:13]  She got like a whole bunch of different things.
[0:31:14]  She got into Harvard and Stanford,
[0:31:16]  and she went to Stanford.
[0:31:18]  And so this is a process we got.
[0:31:21]  Then there was a group of folks from Argentina
[0:31:23]  who got the mate emoji kind of, you know,
[0:31:26]  for a symbol of their national drink.
[0:31:28]  Then we worked with, there was a nonprofit
[0:31:31]  that really wanted to like get a menstruation emoji.
[0:31:36]  And so what they proposed to begin with
[0:31:38]  was like bloody underwear.
[0:31:40]  And I was just like, no, no, no,
[0:31:42]  so many different reasons why this is a terrible emoji.
[0:31:46]  But so we did get blood drops.
[0:31:47]  And then you could do moon and blood drop
[0:31:49]  or underwear and blood drop.
[0:31:50]  There's a lot of different ways.
[0:31:51]  Actually, it's really funny
[0:31:52]  because I was polling my friends beforehand
[0:31:54]  what they would use to indicate menstruation
[0:31:57]  before there was a blood drop.
[0:32:00]  So there was like red wine.
[0:32:01]  There was like kind of that rose
[0:32:04]  with the like falling petal.
[0:32:06]  And then my favorite was actually
[0:32:08]  my friend who used a Japanese flag
[0:32:10]  as a way to indicate that she was having her period.
[0:32:14]  So one of the biggest contributors,
[0:32:17]  this skin tone emoji appeared I think in 2015.
[0:32:21]  It was amazing.
[0:32:22]  And it was proposed by a mom, Katrina Parrott.
[0:32:26]  She is a entrepreneur and a mom
[0:32:28]  who is just like at home one day
[0:32:29]  and her daughter comes home and is like,
[0:32:33]  you know, I wish there were emoji that look like me.
[0:32:36]  And her mom was like, that's great, honey.
[0:32:38]  What's an emoji?
[0:32:39]  And so she, like me, I guess, Googled
[0:32:42]  and just figured out that Unicode controlled emoji.
[0:32:46]  And she just came up with a proposal saying
[0:32:47]  we should not only have the yellow skin tones.
[0:32:50]  At that time, everything was sort of Simpson's yellow.
[0:32:53]  It's really interesting to see how race
[0:32:57]  and like nationality are like depicted
[0:32:59]  in different parts of the world.
[0:33:01]  So originally in Japan, everyone was yellow.
[0:33:05]  But these were the non, you know, by default,
[0:33:07]  everyone was just like, you know, human or Japanese.
[0:33:11]  But they had like a couple of things that were like not.
[0:33:13]  Like one was you had a blonde person.
[0:33:16]  So there's an emoji called like blonde woman or whatever
[0:33:19]  that represents all Westerners.
[0:33:20]  Okay, so that was one.
[0:33:22]  They have one that's like an Indian guy with a turban.
[0:33:24]  So that's supposed to represent Indian people.
[0:33:26]  And then there's like a guy with a little hat
[0:33:30]  that's supposed to represent like Chinese people.
[0:33:32]  So that was like, that was the view,
[0:33:33]  Japanese view of race, which was like default.
[0:33:36]  Then you were like blonde Western Chinese or Indian.
[0:33:39]  And that is all there was.
[0:33:42]  And obviously in the United States,
[0:33:44]  we care a lot about race.
[0:33:46]  And then so she came up with a system with five skin tones,
[0:33:49]  like just like normal people.
[0:33:51]  Some guy in Germany decided that he wanted to do a face
[0:33:55]  with one eyebrow raised or as we call it, the Kober emoji.
[0:34:00]  And oh, this one's fun.
[0:34:03]  So woman's flat shoe.
[0:34:04]  I have to say not highly used statistically at this point,
[0:34:07]  but I really kind of appreciate it
[0:34:09]  because it was a mom who was very offended
[0:34:11]  that all women's shoes had heels, even the sandals.
[0:34:14]  So this is her, she had like three kids at the time.
[0:34:17]  She now has four, she was very fertile.
[0:34:20]  And she also did the women's flat.
[0:34:26]  Okay, she also did one piece bathing suit
[0:34:31]  because she was also offended by the fact
[0:34:34]  that the only kind of bathing suit you had
[0:34:35]  was like this like little itsy bitsy polka dot bikini thing,
[0:34:38]  which is not great if you're like taking your six year old.
[0:34:40]  So I have to say that got passed,
[0:34:42]  but like it didn't go over like super well with everyone.
[0:34:45]  So, you know, Unicode because it's very public
[0:34:47]  submits things for comments.
[0:34:49]  And we got this comment back.
[0:34:51]  So one piece bathing suit, why?
[0:34:54]  A person wanting to indicate the use of swimwear
[0:34:56]  can't use existing bikini, is this really necessary?
[0:34:59]  What about a Victorian bathing costume
[0:35:02]  or a wetsuit or waterings?
[0:35:03]  This is like literally in like the records
[0:35:07]  and like do not encode.
[0:35:09]  And so the person who did this is actually very impressive.
[0:35:12]  He's actually the person who created
[0:35:14]  the middle finger emoji.
[0:35:16]  And actually, if you've ever seen the Vulcan emoji,
[0:35:18]  he the Vulcan hand emoji, he's actually very active.
[0:35:22]  And I have to say, this is actually,
[0:35:23]  I think one of the more impressive emojis.
[0:35:25]  So obviously, obviously we have a lot of active debate.
[0:35:29]  Sometimes you get like whole countries submitting.
[0:35:31]  So literally the government of Finland,
[0:35:33]  as in like their equivalent of the State Department,
[0:35:35]  their diplomacy kind of thing, submitted a proposal for sauna.
[0:35:40]  And these were so creepy and so weird.
[0:35:47]  So much is wrong with this.
[0:35:49]  And, but I felt where they were coming from.
[0:35:52]  First of all, like they're naked.
[0:35:54]  They have no, they have club feet.
[0:35:56]  And so we decided to help them.
[0:35:58]  We're like, okay, we see where you're going with this.
[0:36:00]  Let's see if we can like help you like come up,
[0:36:03]  you know, like we had the spoon,
[0:36:05]  like should there be like steam around them?
[0:36:07]  Like, should they be naked or wearing a towel?
[0:36:09]  It's like super like dicey.
[0:36:10]  But we wanted to help them,
[0:36:11]  because it was like literally a foreign government
[0:36:13]  coming in front of Unicode,
[0:36:14]  advocating for the sauna emoji
[0:36:16]  on behalf of their entire country.
[0:36:17]  So then this is, it's sort of evolved into just basically
[0:36:20]  person in seamy room, which is,
[0:36:22]  which is the most sort of like the PG version of sauna.
[0:36:25]  No, and there's no spoon, they're all dressed.
[0:36:27]  It's very odd.
[0:36:28]  But so you can see the evolution of what it started out,
[0:36:31]  what we submitted and what it ended up.
[0:36:34]  So there's a lot of like evolution
[0:36:36]  throughout the entire process.
[0:36:38]  And like companies can submit emoji proposals too.
[0:36:42]  So Google actually worked on this one.
[0:36:43]  I love this one, okay.
[0:36:44]  So just to give you some context, as of 2015,
[0:36:47]  there are many ways you could be or have an occupation
[0:36:50]  as a male on the emoji keyboard, right?
[0:36:53]  Like, for example, you could be a police officer,
[0:36:57]  you could be a detective,
[0:36:58]  you could be a Buckingham palace guard,
[0:37:00]  you could even be Santa Claus.
[0:37:01]  Like these are so many jobs that you could have.
[0:37:04]  But if you were a woman, as of 2015,
[0:37:05]  there were four things that you could be.
[0:37:07]  You could be a princess,
[0:37:09]  you could be a bride, you could be a dancer,
[0:37:11]  or you could be a playboy bunny.
[0:37:12]  These were the sum total of all the occupations
[0:37:15]  that we could have.
[0:37:16]  So there was sort of this movement at that time.
[0:37:20]  It was like this like video on YouTube that like went viral.
[0:37:23]  There was like a New York Times op-ed that was like,
[0:37:25]  where are the women with professions?
[0:37:26]  So basically they came up with a set of emoji
[0:37:30]  for professions.
[0:37:31]  And what's nice is not only did women have
[0:37:33]  these professions, now men have them too.
[0:37:36]  So of emoji nation emoji,
[0:37:38]  these are some of the ones that we've worked on.
[0:37:40]  I think about 130 of the emoji on your keyboard
[0:37:42]  probably came through, touched our system in some way,
[0:37:46]  including, I have to say, microbe or virus.
[0:37:49]  I think I have the opinion that every emoji has its day.
[0:37:52]  Like it might not be like today, it might not be next year,
[0:37:56]  but I have to say virus was not doing anything,
[0:37:58]  then came 2020 and that was like such a good moment for it.
[0:38:01]  Along with soap, we had also done soap.
[0:38:03]  So among the other emoji that we have worked on
[0:38:08]  are sari, mooncake, llama, like teddy bear.
[0:38:10]  There were no toys, I felt really sad for toys.
[0:38:13]  We have like giraffe, there was hot bubble tea.
[0:38:17]  Bubble tea was very controversial actually.
[0:38:19]  I have to say, we tried to slide it in originally
[0:38:22]  with the takeout box and the dumplings
[0:38:24]  and people were not happy.
[0:38:26]  I understand that, cause there's not a lot,
[0:38:28]  like compared to like beer or wine,
[0:38:31]  like bubble tea does not have a long history on this planet.
[0:38:35]  But I will say that they submitted again,
[0:38:40]  actually kind of originally proposing
[0:38:42]  that it was not just bubble tea,
[0:38:44]  but like a black ball and milk and tea.
[0:38:46]  It was kind of cool.
[0:38:47]  And I have to say, there was definitely a generational divide
[0:38:50]  between like the Asian women who sit in that room
[0:38:53]  and are like, this absolutely is a thing that we consume
[0:38:55]  like almost like every week of our life.
[0:38:57]  And people who are a little bit older,
[0:38:59]  who are like, that looks like a parfait.
[0:39:01]  How do you not know that's a parfait?
[0:39:02]  And we're like, we absolutely know.
[0:39:04]  It is not a parfait.
[0:39:05]  And so it got in eventually.
[0:39:07]  So it does sort of influence,
[0:39:08]  it kind of shows like who is in the room influences,
[0:39:12]  you know, the decisions that get made
[0:39:14]  or sometimes in the room,
[0:39:15]  now sometimes more likely in the Zoom.
[0:39:18]  I actually have to say beaver emoji.
[0:39:20]  If you see beaver emoji,
[0:39:21]  that's one of the ones I'm most proud of.
[0:39:23]  So that is actually co-authored by a professor
[0:39:25]  here at Harvard who is both lesbian
[0:39:29]  and was married to a woman from Canada.
[0:39:31]  So it was very important to her
[0:39:32]  to get the beaver emoji passed.
[0:39:35]  And she promised me it would always be
[0:39:37]  the first line of her bio.
[0:39:38]  So, and indeed, if you go to her Twitter handle,
[0:39:42]  it's like Joan Donovan, creator of the beaver emoji,
[0:39:46]  is head of research at the Shorenstein Center
[0:39:48]  at the Harvard Kennedy School.
[0:39:49]  It's kind of, it's pretty impressive.
[0:39:52]  And then we did greens.
[0:39:53]  Actually greens was really interesting because people,
[0:39:57]  this was also like a generational cultural thing.
[0:39:59]  People were like, why do we need greens?
[0:40:00]  We have salad.
[0:40:01]  And I was like, we're Chinese.
[0:40:03]  We don't eat raw greens
[0:40:04]  because you don't know where it's been or if it's clean.
[0:40:07]  So we cook our greens.
[0:40:08]  So salad is not something that we have.
[0:40:09]  So eventually I got my greens.
[0:40:11]  And so that was kind of fun.
[0:40:14]  And then, so these are some of the people
[0:40:15]  who sort of have contributed
[0:40:16]  to our little emoji nation things,
[0:40:18]  including a number of Native Americans who helped get feather.
[0:40:21]  So why do I care?
[0:40:22]  So part of it is because I'm Chinese.
[0:40:24]  I grew up speaking Chinese and English at the same time.
[0:40:26]  And it's really interesting to see Chinese
[0:40:28]  and English characters in terms of emoji
[0:40:32]  and Chinese together, right?
[0:40:33]  So this is fire.
[0:40:34]  You have like fire characters and now you have emoji things.
[0:40:36]  And it's kind of, it kind of shows
[0:40:37]  that there is a longevity in the human experience
[0:40:40]  of something that was designed 4,000 years ago
[0:40:42]  as the same visual cues in the human experiences as now.
[0:40:44]  So mouth, tree, moon, sun.
[0:40:50]  You can mix and match them, which is super fun.
[0:40:52]  So, you know, two trees kind of make a forest.
[0:40:56]  Oops, sorry.
[0:40:58]  Then the moon and sun together means right, which I like.
[0:41:06]  I like this one.
[0:41:07]  So if you stop and you think about this.
[0:41:09]  So this is basically a pig under a roof.
[0:41:15]  And what does that mean?
[0:41:17]  It does not mean farm, as you might think.
[0:41:20]  It actually means home or family.
[0:41:21]  So in the Chinese kind of structure and outlook on the view,
[0:41:26]  it's like where you keep your pigs
[0:41:28]  is actually where your home is and what your farm is.
[0:41:32]  So it gets kind of weird in all kinds of ways.
[0:41:35]  So one of my favorite radicals.
[0:41:36]  So this character means woman, ni.
[0:41:40]  And as I was learning Chinese,
[0:41:44]  you kind of notice like how it shows up.
[0:41:46]  So this is a woman underneath a roof and you're like,
[0:41:50]  oh, it means mom or wife or like whatever, like home.
[0:41:55]  It does not.
[0:41:56]  It means peace because things are at home
[0:42:00]  when the woman is, or things are at peace
[0:42:03]  when the woman is at home underneath a roof,
[0:42:05]  which I always thought was a little bit odd.
[0:42:07]  Then there is also a woman plus child.
[0:42:12]  So you're like, oh, and actually specifically boy child,
[0:42:15]  the connotation there is a little bit unclear.
[0:42:17]  So you're like a woman plus child, family, mom, whatever.
[0:42:21]  It is not, it means good.
[0:42:22]  So the standard for goodness in ancient China
[0:42:25]  was a woman who had a male child.
[0:42:27]  So that kind of just like kind of irked me growing up.
[0:42:31]  And then three women together means evil,
[0:42:34]  which is like very like Macbeth.
[0:42:35]  This character means greed.
[0:42:40]  This character means slave.
[0:42:42]  This marriage, I think this one is jealousy.
[0:42:45]  And this means adultery or betrayal.
[0:42:48]  So like definitely not loving the way women were portrayed
[0:42:54]  on the emoji keyboard.
[0:42:55]  So in case you're wondering,
[0:42:56]  we just came out with a kid's book called Had Moji
[0:42:58]  that kind of compares emoji and Chinese.
[0:43:01]  And I think they sent out a bunch of books
[0:43:04]  so that you guys can do some kind of contests
[0:43:06]  like later on with CS50.
[0:43:09]  So, but the mixing and matching is really interesting, right?
[0:43:12]  For example, the skin tones are actually
[0:43:15]  the same yellow character plus a layer of skin tone
[0:43:18]  on top of this.
[0:43:19]  So I kind of took my lessons from Chinese
[0:43:21]  in terms of seeing how things can be fine.
[0:43:24]  So there's something you should know about,
[0:43:25]  which is Zwitch.
[0:43:26]  This is also an invisible emoji character.
[0:43:28]  It stands for zero with joiner.
[0:43:30]  And it was actually originally created most for,
[0:43:32]  I think Arabic, where you would basically kind of force
[0:43:36]  something to have like be in the beginning of a word
[0:43:38]  or an end of a word by kind of having
[0:43:41]  this like invisible character.
[0:43:42]  So the rainbow flag, for example,
[0:43:44]  is actually a rainbow plus the white flag.
[0:43:47]  And we could have all kinds of fun combinations.
[0:43:51]  If you look at polar bear, it actually is,
[0:43:54]  if you have an older device or it breaks apart,
[0:43:55]  it is bear plus snow, which is really cute.
[0:43:59]  Originally I had bear plus white.
[0:44:01]  And then we decided that bear plus snow
[0:44:04]  made a lot more sense.
[0:44:05]  So another one, this is new.
[0:44:07]  I think you guys should have it if you've updated
[0:44:10]  your phones in the last year or so.
[0:44:12]  So mending heart is heart plus bandaid.
[0:44:16]  What is this one?
[0:44:17]  Oh, this is interesting.
[0:44:19]  There was a breastfeeding woman for a long time
[0:44:22]  and people felt like there was not gender parity.
[0:44:24]  It was actually really interesting.
[0:44:24]  All the people who wrote in and were like,
[0:44:26]  I wanna be a dad showing that I'm holding my baby.
[0:44:29]  Why is there only a woman holding my baby?
[0:44:31]  So we kind of created a whole set.
[0:44:34]  So this is man plus model, ta-da.
[0:44:38]  And so this is, and all of these occupations
[0:44:40]  are actually oftentimes a woman plus like the fried egg
[0:44:44]  or like a school or a tractor.
[0:44:47]  And that's how you got the occupations.
[0:44:49]  If you send an emoji over into an older system,
[0:44:53]  sometimes it'll break apart.
[0:44:55]  So one of my kind of favorite kind of contributions
[0:44:57]  in this world is interracial couple emoji,
[0:44:59]  which we did with Tinder, which is super fun.
[0:45:03]  Cause then you could have different couples that are,
[0:45:06]  and like so many common, this is a fun,
[0:45:09]  if you guys ever have to do a combinatoric test,
[0:45:11]  this is really fun cause you have two genders
[0:45:14]  plus a third like neutral gender plus two people
[0:45:17]  plus five skin tones plus yellow.
[0:45:19]  Like how many emoji couples can you come up with
[0:45:23]  when you introduce this factor?
[0:45:24]  So this is, and underneath it, it's just as which sequence,
[0:45:28]  it's like two people standing together
[0:45:29]  that are like glued together.
[0:45:31]  Now this actually gets interesting from a CS50 perspective
[0:45:34]  because in many cases, even though you only see one character
[0:45:38]  underneath the hood, depending on how your system works,
[0:45:41]  they're counting each one of these as an individual character.
[0:45:44]  So your string length actually might be five instead of one.
[0:45:47]  And this kind of became a problem with things like Twitter
[0:45:49]  where things had a hard skin length.
[0:45:51]  So gender inclusivity is actually one of the things
[0:45:54]  that we've been dealing most with in the last couple years.
[0:45:58]  So it's kind of interesting if you think about
[0:46:01]  both what a pictorial language looks like
[0:46:02]  versus the abstractness of a spoken language.
[0:46:06]  So, cause you know, we had boy and we had girl,
[0:46:10]  but there was no way to say generic child, right?
[0:46:12]  Like if you want to say child,
[0:46:14]  you had to pick a boy or a girl,
[0:46:15]  but not a way to say like just some little person.
[0:46:19]  And that's really key cause in English at least,
[0:46:21]  there is no gender implied by child.
[0:46:25]  So how do we mimic that?
[0:46:27]  And it also is a key for something like doctor, right?
[0:46:30]  Doctor and teacher, those don't have gender implied,
[0:46:34]  but when we have them on the emoji keyboard,
[0:46:37]  you had to pick a male teacher or a female doctor or whatnot.
[0:46:42]  So there was actually a guy at Adobe
[0:46:45]  who considered himself non-gender binary.
[0:46:47]  Also the man behind the orange heart,
[0:46:51]  he fought and got basically the first three
[0:46:56]  non-gender binary emoji.
[0:46:59]  So child, adult, and older adult.
[0:47:02]  So those are creative.
[0:47:04]  And then we started having to propagate them
[0:47:06]  through actually all the occupations.
[0:47:07]  So these are the gender neutral versions of many of those.
[0:47:11]  But then we got into this whole thing
[0:47:13]  where every emoji that had a gender originally
[0:47:16]  had to be mirrored.
[0:47:17]  So originally we had bearded man,
[0:47:18]  and then we're like, okay, well,
[0:47:20]  we actually have to get bearded woman.
[0:47:21]  So that is on your keyboard.
[0:47:23]  There is pregnant woman.
[0:47:24]  There is now pregnant man, which is interesting.
[0:47:28]  There is woman in a bridal gown.
[0:47:31]  There is now man in a bridal gown.
[0:47:34]  And then there were ones that actually had to be created
[0:47:36]  that were neither man or woman.
[0:47:38]  So this is a mer person.
[0:47:40]  So there was merman, there was mermaid,
[0:47:41]  and there was mer person.
[0:47:42]  It was really interesting to figure out
[0:47:43]  how do you draw a gender neutral mer person?
[0:47:46]  Like a bunch of them in the beginning
[0:47:47]  actually had the arms crossed around sort of the chest.
[0:47:51]  Monarch.
[0:47:51]  So there was prince and princess,
[0:47:52]  and now there is monarch.
[0:47:54]  And one of my favorite actually is there was Santa Claus,
[0:47:57]  and there was Mrs. Claus, and now there's Mx Claus.
[0:47:59]  Like the name of this character literally in Unicode
[0:48:02]  is Mx Claus.
[0:48:02]  So I feel like it's sort of like a very official enshrining
[0:48:05]  of gender non-binaryness in the world.
[0:48:09]  Not everyone loved it.
[0:48:10]  New York Post did not love this.
[0:48:11]  They were like, we're turning into like emoji woke wars.
[0:48:16]  So some emoji stats for you.
[0:48:18]  This is very fascinating.
[0:48:19]  This is sort of like the general distribution.
[0:48:21]  By far, the single emoji that you use
[0:48:23]  more than anything else is the face with tears of joy.
[0:48:26]  About 10% of all emoji sent is that one character.
[0:48:30]  And then number two is heart, red heart.
[0:48:33]  And then it kind of goes down.
[0:48:34]  So there's a frequency of emoji use.
[0:48:36]  This is sort of done by order of magnitude.
[0:48:40]  So one is half of two, two is half of one, da-da-da-da-da.
[0:48:45]  So it's really interesting.
[0:48:46]  It's a very, very steep drop off after the first couple.
[0:48:49]  In case you ever wanna go onto the emoji
[0:48:52]  kind of Unicode website,
[0:48:54]  you too can see all the frequency things.
[0:48:56]  So I think it's really funny.
[0:48:58]  So basically, if it's green going this way,
[0:49:00]  it increased in usage between 2019 and 2021.
[0:49:03]  If it's red going this way, it dropped.
[0:49:05]  And so pleading face, which was a relatively new emoji,
[0:49:08]  just sort of shut up on the charts.
[0:49:12]  And whereas actually like smiling face with heart eyes,
[0:49:16]  eyes like kind of, kind of slipped, which is interesting.
[0:49:19]  So we just closed our emoji proposal round for 2022.
[0:49:23]  These were sort of the breakdowns.
[0:49:24]  People love submitting smileys and food and beverages,
[0:49:26]  animals and nature, da-da-da.
[0:49:29]  I mean, these are very googly colors.
[0:49:31]  So what is the future of emoji?
[0:49:33]  I will tell you because we just had a meeting two weeks ago,
[0:49:36]  so I can now publicly talk about it.
[0:49:38]  So historically, there was this whole idea
[0:49:40]  like Unicode doesn't wanna be in the world
[0:49:42]  of like encoding glyphs for like devices everywhere.
[0:49:46]  Like there was a very controversial
[0:49:48]  when it started doing that.
[0:49:49]  Cause mostly what Unicode used to do
[0:49:50]  was take an existing language, could be done,
[0:49:53]  and then it would just take it and digitize it, right?
[0:49:56]  It took languages that existed and just digitize them.
[0:49:59]  And then when it kind of wandered into emoji world,
[0:50:03]  suddenly it's like deciding what deserves to be,
[0:50:07]  like an emoji decides to be digitized.
[0:50:09]  So trying to get kind of get out of it
[0:50:12]  and they have proposals over time where it's like,
[0:50:15]  oh, maybe we should like come up with a way
[0:50:17]  to just send pictures back and forth where you,
[0:50:21]  it's a fixed picture and you like use a hash
[0:50:24]  so that you know, we would look at the picture
[0:50:27]  and then like go do a lookup somewhere.
[0:50:29]  Like that did not go over well.
[0:50:30]  Then there was actually a really interesting proposal
[0:50:33]  I kind of like didn't go over well,
[0:50:35]  which is using something called a QID,
[0:50:37]  which is in the Wikipedia world.
[0:50:39]  So in Wikipedia world, items all have numbers
[0:50:44]  across the different language Wikipedia.
[0:50:46]  So Obama, human, Earth, they will have an ID number
[0:50:50]  so that the page in English and the page in German
[0:50:53]  and the page in Chinese all know
[0:50:54]  that they're pointing to the same thing.
[0:50:56]  So the question, so one idea came up like,
[0:50:58]  why don't we use the numbering system?
[0:51:00]  So we can use like Eiffel Tower in, you know,
[0:51:02]  see the number and then like, oh, people know like,
[0:51:05]  oh, you're trying to say Eiffel Tower.
[0:51:07]  That did not go over well.
[0:51:08]  So those are both, both of those proposals seem dead
[0:51:10]  as of yet and it's too bad
[0:51:13]  because you'll see kind of what's happening.
[0:51:14]  Okay, so what's coming in 2022?
[0:51:16]  So these are the emoji that I actually sort of thought
[0:51:19]  they would be on your phones by now,
[0:51:20]  but because we're in mid November
[0:51:21]  and they usually update early November.
[0:51:23]  So three more hearts, people love hearts,
[0:51:26]  like wing, blackbird, goose, birds also,
[0:51:29]  purple flowers, jellyfish, moose face, donkey.
[0:51:32]  Donkey will be a little bit late for the kind of elections.
[0:51:35]  Ginger, peapod, wireless, conda, shaking face.
[0:51:40]  Folding hand fan, that one was interesting
[0:51:42]  because when people first proposed it,
[0:51:44]  they proposed it as like an electric fan
[0:51:46]  and that didn't, like, who knows what electric fans
[0:51:49]  will look like in a hundred years?
[0:51:50]  Because the thing is once an emoji, always an emoji,
[0:51:52]  they never retire.
[0:51:53]  So they're always looking for things
[0:51:55]  that have a visual longevity.
[0:51:57]  Floppy disk, do not actually do that.
[0:51:59]  So there's always like, we don't want another floppy disk.
[0:52:02]  And then hair pick is interesting.
[0:52:03]  So there was a whole debate about how to convey
[0:52:08]  like Afro, African hair, like the curly hair
[0:52:11]  that they introduced a couple of years ago
[0:52:12]  was supposed to do that.
[0:52:13]  And most of the vendors actually have it
[0:52:16]  in a sort of Afro-y way, except for Apple.
[0:52:17]  So there's a lot of complaints,
[0:52:18]  but hair pick was sort of an interesting way,
[0:52:21]  it means both comb, but also has sort of an interesting
[0:52:24]  historic connotation and it's been around
[0:52:26]  for about 2000 years.
[0:52:28]  A couple of music things, maracas and flute.
[0:52:30]  Beyond 2022, one of the things that's gonna die, oops,
[0:52:33]  can I go back?
[0:52:35]  No, I can't, oh well.
[0:52:36]  We're gonna retire the family emoji.
[0:52:41]  They didn't go over so well.
[0:52:42]  There were so many of them, it's combinatorically
[0:52:44]  if you had all the, everything in, you know,
[0:52:48]  all the races, all the races, all the,
[0:52:50]  because you wanted to have skin tones,
[0:52:52]  because you didn't want to imply
[0:52:53]  that families can only be one race.
[0:52:54]  It was such a ordeal.
[0:52:56]  Essentially, we're all like, no one uses them
[0:52:58]  and there's so many and it's like the fonts,
[0:53:01]  in terms of the load is like too large.
[0:53:03]  So they're just gonna make them all into like,
[0:53:05]  basically little like bathroom symbol type folks.
[0:53:08]  So I think that is, those will disappear.
[0:53:10]  What's actually really interesting about the family emoji
[0:53:13]  is they had, when they introduced the family emoji,
[0:53:15]  they had gay family emoji and the Russian government
[0:53:18]  went berserk and actually you can Google this in 2015,
[0:53:21]  you'll see a bunch of articles about like,
[0:53:23]  the Russian government considering it
[0:53:24]  homosexual propaganda to youth
[0:53:26]  and there was a big debate about whether or not
[0:53:27]  they were gonna ban Apple devices and whatever.
[0:53:29]  So you can see a lot of the media coverage from that time
[0:53:31]  but I thought it was really interesting
[0:53:34]  how upset a national government can get
[0:53:36]  about little pictures on your phone.
[0:53:39]  Another thing that's gonna, that's on the agenda,
[0:53:42]  as of a couple of weeks ago,
[0:53:43]  is directionality in terms of emoji.
[0:53:46]  So as you know, most emoji kind of just flipped
[0:53:48]  one way or another and the reason why it matters
[0:53:51]  is because not all languages run in the same direction.
[0:53:54]  So for example, Arabic.
[0:53:55]  So we are used to left to right
[0:53:58]  but a lot of languages go right to left.
[0:54:01]  So and this kind of, it kind of changes the meaning
[0:54:03]  of emoji, for example, right to left.
[0:54:05]  I send this a lot to my friends
[0:54:07]  when I'm going flying from the Bay Area to New York.
[0:54:11]  If you do it from left to right, however,
[0:54:14]  that is what it looks like.
[0:54:15]  So it looks like, you know, you're in a Bay Area
[0:54:17]  but the plane is still going that, you know,
[0:54:20]  kind of up and to the right
[0:54:21]  and then now it looks like you're going
[0:54:23]  from New York to the Bay Area.
[0:54:25]  The other place is like, oh, it's a girl
[0:54:27]  and she's running really fast, right?
[0:54:29]  That is right to left in our world.
[0:54:32]  Wait, left to right, sorry, sorry.
[0:54:34]  That was, that's supposed to be left to right
[0:54:35]  and in here it would be, she's like behind,
[0:54:38]  like pollution or something like that.
[0:54:40]  So sorry about that.
[0:54:41]  So an example, this is actually in the proposal.
[0:54:43]  Like in one case, if it's left to right,
[0:54:46]  you're running away from a line of cars
[0:54:48]  and the other one, it's a warning
[0:54:49]  to not run behind car fumes.
[0:54:51]  So they are trying to figure out like,
[0:54:53]  how do we mirror a bunch of the emoji?
[0:54:56]  But the main thing that I think sort of,
[0:55:00]  I don't know when it's gonna happen,
[0:55:01]  I'm really hopeful it's gonna happen,
[0:55:02]  is trying to come up with a system
[0:55:04]  that supports little stickers in line
[0:55:06]  that don't need Unicode.
[0:55:09]  So this is like Slack or on Twitch.
[0:55:12]  You can embed little pictures in line
[0:55:14]  and all the vendors have to get together
[0:55:16]  and agree to come up with a standard way to do that.
[0:55:19]  They have not yet come up with that.
[0:55:21]  But that is sort of one of the ways
[0:55:23]  that Unicode wants to back away
[0:55:25]  from actually being like a global regulator
[0:55:28]  for like little colorful glyphs.
[0:55:30]  And so if you ever need to reach me on,
[0:55:34]  in my emoji world, you can find me,
[0:55:36]  Jenny at Emojination.org.
[0:55:38]  There will be, it will be actually a while,
[0:55:42]  I think, before we see a next generation
[0:55:44]  of emoji showing up.
[0:55:46]  There used to be like every year
[0:55:47]  they would get new code points.
[0:55:48]  It might be a little bit less than every year now
[0:55:50]  as they work on things like directionality over time.
[0:55:53]  So that, if anyone has questions,
[0:55:55]  you can ask questions, you can find me afterwards.
[0:55:58]  I think I feel like there's supposed to be
[0:56:00]  some hubbub right now about maybe,
[0:56:04]  maybe microphones, but maybe not.
[0:56:09]  But maybe I'm just done.
[0:56:10]  And if there are questions or if David is around,
