# Transcripción: chunk_016.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  Structured query language.
[0:28:28]  So questions then on this technique of using Python to analyze data like this?
[0:28:37]  Any questions?
[0:28:40]  We're almost done with Python.
[0:28:42]  Questions?
[0:28:44]  No?
[0:28:45]  OK.
[0:28:45]  So why don't we make things a little more interesting
[0:28:48]  because we had a much juicier data set with the problems
[0:28:51]  that we've assigned over the past several weeks.
[0:28:53]  Why don't we go ahead and quite simply, I think,
[0:28:57]  we wrote pretty darn good code here.
[0:28:59]  So I think we can pretty much just change a bit of it to say,
[0:29:05]  let's see, if I don't want language, I want problem.
[0:29:08]  And if I want to sort by not language, but problem, I think that's it.
[0:29:12]  I think if I didn't overlook something here,
[0:29:14]  just by changing what column I'm reading the data from,
[0:29:18]  and then just to be consistent, renaming my variables,
[0:29:20]  just so I know what I'm looking at, what will this program now
[0:29:23]  do after those minor changes?
[0:29:28]  What will I see when I run this?
[0:29:32]  What would be the first thing I see when I run this?
[0:29:37]  Tough crowd today.
[0:29:38]  Yes?
[0:29:39]  Yeah, the problem, the top problem.
[0:29:42]  So the most popular problem, which I'm a little worried it might be hello
[0:29:46]  or just scratch, but let's go ahead and see.
[0:29:47]  So let me go ahead and open my terminal window.
[0:29:50]  I'll even maximize my terminal window so we can see a lot.
[0:29:53]  Let me go ahead and run Python of favorites.py.
[0:29:56]  I'm going to go ahead now and cross my fingers that I didn't mess up and hit
[0:29:59]  Enter.
[0:30:00]  And OK, great.
[0:30:02]  We peaked early.
[0:30:03]  So Scratch was the most popular program according to the data.
[0:30:07]  At the time, I downloaded it.
[0:30:08]  I'm sure other votes have come in since.
[0:30:11]  Filter in week four was tied then with Tiedemann as well.
[0:30:15]  Mario is a close third there, and so forth.
[0:30:18]  So this is helpful for us on staff.
[0:30:20]  That's not so much love down here at the bottom of the list.
[0:30:23]  So it was a bunch of code to write, but now that we've written it
[0:30:26]  in this very versatile, dynamic way, it's
[0:30:28]  pretty good for just crunching data and doing some analytics.
[0:30:31]  But it's still a decent number of lines to have had to write manually.
[0:30:35]  And this is where sometimes it isn't necessarily the right tool for the job,
[0:30:41]  but rather a candidate for using some other language altogether,
[0:30:46]  especially when it's not just a one-time program that you run
[0:30:50]  and you want to see the answer.
[0:30:51]  What if you want to take input from the user
[0:30:53]  and answer questions dynamically, like a mobile app would,
[0:30:56]  like a website would, like Microsoft Excel or Apple
[0:30:59]  Numbers or Sheets would for you?
[0:31:01]  Well, let's make one final change for now to this version of the program
[0:31:05]  and actually take in some user input.
[0:31:07]  So besides just loading all of the data into memory,
[0:31:10]  let's go ahead and, down below here, not just print out the top 10 list,
[0:31:16]  if you will, but prompt the user for their favorite.
[0:31:19]  So I'm going to use Python's input function.
[0:31:21]  And I'm just going to prompt them with favorite, quote unquote.
[0:31:23]  Like, tell me what your favorite problem, or what problem,
[0:31:27]  rather, you're interested in.
[0:31:30]  And now let me go ahead and say, if that favorite is in the counts variable,
[0:31:36]  so you didn't type in something random that we didn't actually assign
[0:31:38]  as a problem, then let me go ahead and print with a format string
[0:31:42]  whatever that favorite is of yours and show you the actual popularity thereof
[0:31:48]  by indexing into counts using that favorite as the key and printing this.
[0:31:53]  So now it's a dynamic program.
[0:31:55]  It doesn't dump all of the data and all of the summations.
[0:31:57]  Rather, it's going to allow me to see what my choice of favorite is.
[0:32:01]  And I'm going to go ahead and say, let's see.
[0:32:04]  I'm a fan of Mario here.
[0:32:06]  So enter.
[0:32:07]  And indeed, we see the same value we saw a moment ago, but just for Mario.
[0:32:11]  But the point now is that, one, all of this is possible.
[0:32:14]  Two, it's way easier and more pleasant than this would have been in C.
[0:32:18]  This is still only 15 lines of code.
[0:32:19]  And in C, again, there's the memory management.
[0:32:21]  There's the iterating over the strings trying to find the commas.
[0:32:24]  There's just a lot more work.
[0:32:25]  But honestly, even when you just want to answer a question like this in Excel,
[0:32:29]  in Apple numbers, Google Sheets, generally you can just highlight things.
[0:32:32]  You can click a button and boom, you get your answer for summation or max
[0:32:36]  or min or any of those sort of basics.
[0:32:38]  Wouldn't it be nice if we weren't taking a step backwards as programmers
[0:32:41]  and being sort of more powerful and yet we now have to do more of the work?
[0:32:45]  So maybe sometimes Python's not, or any language is not,
[0:32:49]  the best tool for the job.
[0:32:50]  And that's going to now allow us to introduce more generally something
[0:32:54]  called a relational database, graduating from mere flat file databases
[0:32:58]  like text files or binary files in which all of your data
[0:33:01]  is stored to something more proper.
[0:33:03]  But first, questions.
[0:33:16]  Really good question to reiterate.
[0:33:18]  Is this case sensitive?
[0:33:20]  So if I were to type in Mario in all lowercase and hit Enter,
[0:33:24]  I actually get no such response.
[0:33:25]  Now, that might be acceptable because the problem technically, what,
[0:33:28]  is a capital M. But that's a little ridiculous
[0:33:31]  to be that pedantic about the input.
[0:33:33]  So how could we solve this?
[0:33:36]  Any tips for how we can make this a little more robust?
[0:33:39]  Yeah.
[0:33:48]  OK, yeah.
[0:33:51]  Yeah.
[0:33:52]  So we could use a few different functions, one of which
[0:33:54]  is called title, which will change it to title case where it capitalizes
[0:33:57]  like in most English sentences, the first letter of that sentence.
[0:34:01]  We could use capitalize.
[0:34:02]  We could use upper.
[0:34:03]  We could use lower.
[0:34:04]  But indeed, we could just decide how we want
[0:34:06]  to standardize the capitalization, either uppercase, lowercase,
[0:34:09]  or some combination thereof, and just make sure
[0:34:12]  that you change the counts themselves, make sure that you do the same
[0:34:15]  to favorite, and make sure that maybe you keep a backup of the data
[0:34:18]  if you want to show the original version that came from the CSV
[0:34:22]  without presuming to just capitalize everything for the user.
[0:34:25]  But indeed, that would be the most common scenario.
[0:34:27]  You just make things case insensitive when doing those matches.
[0:34:31]  Other questions now on Python before we leave it behind for the coming week?
[0:34:39]  All right.
[0:34:39]  Well, then let's introduce these relational databases.
[0:34:42]  So relational database is a super popular way of storing lots of data.
[0:34:48]  This is what the Twitters of the world, the Googles of the world,
[0:34:50]  the Metas of the world use to store some of their data at scale.
[0:34:54]  There are alternatives to relational databases.
[0:34:57]  Indeed, today we'll talk about a language called SQL.
[0:35:00]  There's also a movement, if you will, or an alternative
[0:35:02]  generally called NoSQL, which is just the opposite.
[0:35:04]  You don't use SQL.
[0:35:05]  There are things called object-oriented databases and the like.
[0:35:08]  But if you've ever heard of MySQL, or PostgreSQL, or Microsoft SQL Server,
[0:35:14]  or Oracle, or MariaDB, or a bunch of other products, both free and commercial,
[0:35:19]  this is what they're talking about, databases that
[0:35:22]  are designed to store lots of data.
[0:35:23]  And what's nice about relational databases
[0:35:26]  is that they're really similar to the spreadsheets with which you
[0:35:28]  were presumably familiar long before today's class.
[0:35:32]  So a relational database is going to store, as you'll see,
[0:35:35]  all of the data in rows and columns.
[0:35:37]  Now, the terminology will thereafter be a little different.
[0:35:40]  Instead of having sheets, you're going to have tables.
[0:35:43]  But those tables are still going to have rows and columns.
[0:35:45]  And you're going to have even more control over the performance of your data
[0:35:50]  when you start to access it using this Structured Query Language, or SQL.
[0:35:55]  This is a language you can use for web apps, mobile apps.
[0:35:58]  A lot of analysts would sit down at their Mac or PC
[0:36:01]  and actually ask questions of data to get back the answer.
[0:36:04]  And wonderfully, even though there will be some new syntax today,
[0:36:07]  SQL really just does four basic things.
[0:36:10]  CRUD is the sort of crude acronym here.
[0:36:12]  CRUD is a way of remembering that a relational database supports,
[0:36:16]  ultimately, creating data, reading data, updating data, and deleting data.
[0:36:22]  So even if you're feeling like, wow, this is a lot of new syntax, which
[0:36:25]  it isn't relative to our past languages, the only things you're doing,
[0:36:29]  really, are creating data, reading data, updating, and deleting the same.
[0:36:33]  Now, a little confusingly, in SQL, the corresponding functions or commands
[0:36:39]  that exist that map to CRUD are actually this.
[0:36:43]  So it's still create, but there's another one called insert.
[0:36:46]  It's not read, which is more of the computer scientist way of saying it,
[0:36:50]  but select, which is a little more explicit,
[0:36:52]  like select data you care about.
[0:36:54]  Update is still update.
[0:36:55]  Delete is still delete.
[0:36:56]  But there's another command called drop, which
[0:36:58]  lets you drop, that is, delete entire tables as well.
[0:37:02]  So you can create tables using syntax that's generally
[0:37:06]  going to look like this.
[0:37:07]  You'll say create table.
[0:37:09]  You'll give the name of the table, which you can call most anything you want.
[0:37:13]  But generally, all lowercase, no spaces is best.
[0:37:16]  Then in parentheses, you can specify a comma-separated list of the columns
[0:37:21]  that you might want in this table.
[0:37:23]  So this is the code equivalent in the SQL language
[0:37:26]  of manually opening Google Sheets or Excel or Numbers
[0:37:29]  and clicking in the top left cell and typing timestamp.
[0:37:32]  And then in the next, typing language.
[0:37:34]  And then in the third, typing problem.
[0:37:36]  This is the way to define what your headers are, if you will, in a spreadsheet,
[0:37:40]  but now it's called a table.
[0:37:42]  Now, we won't use this command manually first.
[0:37:44]  Let's do something a little simpler.
[0:37:46]  We're going to start off by just importing this data ourselves.
[0:37:50]  And I'm going to go ahead and do this.
[0:37:51]  Let me go back to VS Code here.
[0:37:53]  I'm going to leave behind favorites.py for now,
[0:37:56]  because now we're going to transition to this other language called SQL.
[0:37:59]  And to do this, I am going to create a new database file.
[0:38:05]  And I'm going to do so using a command called sqlite3, which is just
[0:38:09]  the third version thereof.
[0:38:11]  And I'm going to give the database a name of favorites.db.
[0:38:14]  There's different conventions, but this is
[0:38:16]  one of the most common.
[0:38:17]  When I hit Enter, this is going to create for me a new empty database,
[0:38:20]  just like opening an untitled spreadsheet in Excel, Google Sheets,
[0:38:24]  or Apple Numbers.
[0:38:25]  I'm being prompted.
[0:38:26]  Do I want to create favorites.db?
[0:38:28]  I'll hit Y for yes.
[0:38:29]  OK, we're up and running.
[0:38:31]  Now, you're going to notice a different prompt.
[0:38:33]  I'm not in my Linux prompt, per se, which is always the dollar sign.
[0:38:36]  I'm now inside of the program called sqlite.
[0:38:39]  And we're going to use sqlite3 as just an interactive way, for now,
[0:38:43]  of playing with SQL code.
[0:38:45]  At the end of today, we'll show you how you can use SQL in Python code
[0:38:50]  so that you still write Python code to do whatever you want,
[0:38:53]  but you can talk to databases using Python.
[0:38:55]  And this is exactly how web apps, mobile apps work, for instance, on iOS,
[0:38:59]  on an iPhone, an iPad, or the like.
[0:39:01]  If you want to store data, it's very often stored in a SQL database,
[0:39:05]  as we're about to do.
[0:39:07]  But you might use a language called Swift or Objective-C.
[0:39:09]  And the same exists in the world of Android using Java or Kotlin
[0:39:13]  or something else to query the database.
[0:39:15]  So we're going to see SQL in isolation for now,
[0:39:17]  like an analyst might just use it at their Mac or PC.
[0:39:20]  But we're going to tie it together by day's end.
[0:39:22]  So at this terminal, sqlite, let me go ahead and execute this command first.
[0:39:30]  I'm going to first put sqlite into CSV mode,
[0:39:33]  because I'm going to cut some corners initially.
[0:39:34]  And I'm just going to automatically import all of the data that
[0:39:38]  was submitted via that Google Form, which I exported as a CSV
[0:39:42]  and uploaded to my code space.
[0:39:44]  And I'm just going to automatically say, turn this CSV file into a SQL
[0:39:48]  database for me, just so I don't have to figure out
[0:39:50]  what those create table commands are.
[0:39:52]  So to do this, I'm going to say, mode CSV,
[0:39:55]  so that sqlite knows that this is the command,
[0:39:58]  knows that this is a CSV file.
[0:40:00]  It's literally dot mode.
[0:40:01]  So the dot comes before the keyword there.
[0:40:04]  And now I'm going to say, dot import, and then the name of the file
[0:40:08]  I want to import, which is favorites.csv.
[0:40:10]  And now the name of the table that I want to create with that data.
[0:40:15]  And just for consistency, I'm going to call it favorites.
[0:40:17]  I could change these things to be anything I want, but I'm going to do that.
[0:40:21]  And voila, nothing seems to have happened.
[0:40:23]  But just like in C and in Python and in Linux,
[0:40:25]  when nothing seems to happen, that's usually a good thing.
[0:40:28]  It means I didn't mess up.
[0:40:30]  So if I want to see what just happened, there's this other command.
[0:40:33]  And these commands that start with dots, these
[0:40:35]  are sqlite specific, which is indeed a lightweight version of SQL.
[0:40:40]  They're not SQL per se.
[0:40:41]  So if you're using Oracle or something else like that,
[0:40:43]  you're not going to use these exact commands.
[0:40:45]  You'll see the ones we use in just a moment.
[0:40:47]  And here's the first.
[0:40:49]  When I type dot schema, the schema of a database
[0:40:52]  is the design of the database.
[0:40:53]  What are the tables?
[0:40:54]  What are the columns?
[0:40:55]  And all of that.
[0:40:56]  So when I type dot schema, this actually, in this case,
[0:40:59]  shows me the create table command that was automatically
[0:41:03]  run for me by just doing this import line.
[0:41:06]  Once I get more comfortable with SQL, I could literally
[0:41:08]  type this out myself or use some program to generate that as well.
[0:41:12]  But what it's creating for me is this.
[0:41:13]  Create table.
[0:41:15]  If it doesn't exist, even though it's more terse than that,
[0:41:18]  I want to create a table called favorites.
[0:41:20]  And then the columns for that table are going
[0:41:23]  to be timestamp, which is going to be text, comma, language, which is also
[0:41:27]  going to be text, comma, problem, which is also going to be text.
[0:41:31]  That was just inferred very trivially by the dot import command
[0:41:36]  to just figure out that, yes, just give me a three-column database table
[0:41:40]  based on the Google form.
[0:41:42]  Questions on this?
[0:41:44]  These are commands you run once to get up and running.
[0:41:46]  You don't run these commands frequently.
[0:41:49]  But we have them on the slide just for reference.
[0:41:51]  All right, so now let's do something a little more interesting.
[0:41:54]  I'm going to clear my SQLite terminal here.
[0:41:56]  But I'm still in SQLite.
[0:41:57]  I'm going to now use some of my first SQL commands,
[0:42:00]  which, recall, were among them, select.
[0:42:04]  So crud, C-R-U-D, the R with select, this is maybe the most common,
[0:42:09]  the most useful, the most powerful thing to use with a SQL database,
[0:42:12]  selecting data to answer questions akin to the ones
[0:42:15]  we were trying to answer with Python.
[0:42:17]  This is the general syntax.
[0:42:18]  Anytime you want to select data from a SQL database, you literally say select.
[0:42:22]  You then specify the column or columns that you want to select data from.
[0:42:27]  You literally write the word from.
[0:42:28]  And then you specify the name of the table.
[0:42:30]  You want to get that data from, semicolon, in this case.
[0:42:34]  Everything that's in capitals here is a SQL keyword.
[0:42:37]  Strictly speaking, you don't have to capitalize things.
[0:42:40]  But we would encourage you to do so stylistically.
[0:42:42]  And especially as you're learning and even as you're writing it,
[0:42:45]  it just helps to distinguish SQL from words you chose,
[0:42:49]  like the names of the columns and the data they're in.
[0:42:51]  So do adopt early on this convention.
[0:42:55]  So let me go back now to my code space here.
[0:42:58]  I'm running my terminal window with SQLite 3 inside of it.
[0:43:01]  Suppose that I just want to get all of the data from the favorites table, which
[0:43:05]  was automatically imported.
[0:43:07]  Let's do this.
[0:43:07]  Select.
[0:43:08]  I want everything.
[0:43:10]  Well, I can do timestamp, comma, language, comma, problem.
[0:43:15]  But you know what?
[0:43:16]  Here's a convenience already.
[0:43:18]  If you want everything, there's what's called a wildcard character
[0:43:21]  in SQL, which is just a star, an asterisk, which
[0:43:23]  means give me every column without my knowing even what they're called.
[0:43:27]  Let me go ahead now and say from favorites, semicolon.
[0:43:30]  And this is the SQL way of opening the database,
[0:43:34]  iterating over every row they're in, printing out every row they're in, done.
[0:43:38]  So those three steps, which was like nine lines of Python code,
[0:43:42]  give or take earlier, is now one line of SQL.
[0:43:45]  I hit Enter.
[0:43:46]  There is all of the data.
[0:43:49]  So I see now all of the data just outputted as a CSV here.
[0:43:52]  But it's not the CSV file.
[0:43:54]  It's now actually the table.
[0:43:55]  And in fact, just for good measure, let me do this,
[0:43:57]  because you'll see the behavior a little differently the next time
[0:44:00]  I open the file.
[0:44:01]  I've just exited out of SQLite 3.
[0:44:03]  I'm going to rerun it.
[0:44:04]  But I'm not going to re-import the data or do anything like that,
[0:44:07]  because my file now exists.
[0:44:08]  In fact, let me take one step back.
[0:44:10]  If I type ls at my Linux prompt, there's my favorites.py from before.
[0:44:14]  There's my favorites.csv from before.
[0:44:16]  And here's a third file that I did create a moment ago
[0:44:19]  when I first ran SQLite 3.
[0:44:22]  So the data is persistent.
[0:44:23]  It's not using RAM or memory.
[0:44:25]  Anything I do now is saved there.
[0:44:27]  So let's go ahead and rerun SQLite 3 with the same file.
[0:44:30]  But I don't have to re-import everything, because the file already exists.
[0:44:33]  Let me now do that same thing again.
[0:44:35]  Select star from favorites to get all of the data.
[0:44:39]  And what you'll see now is the same data, but it's a little prettier now.
[0:44:42]  Because I reran it, I effectively disabled CSV mode this time.
[0:44:47]  And what I'm now seeing is the entire contents of this database
[0:44:52]  table called favorites.
[0:44:54]  Now, there's nothing new here.
[0:44:55]  What you're just seeing now, like an ASCII or Unicode version
[0:44:58]  of all of the same data from that database.
[0:45:00]  Well, suppose I want to get a subset of the data.
[0:45:02]  Well, let me clear my screen.
[0:45:03]  And just like in Linux, I can hit Control-L just
[0:45:05]  to clean things up aesthetically.
[0:45:07]  Suppose I want to get just the languages.
[0:45:08]  So I could do select language from favorites.
[0:45:12]  And this will now select not all three columns, AKA star.
[0:45:16]  This will only select the language column and all of the data therein.
[0:45:19]  If I hit Enter, voila.
[0:45:21]  Now I just see those there.
[0:45:23]  No timestamps, no problems.
[0:45:25]  It's just a slice of the table, if you will.
[0:45:28]  All right, not that interesting still, because it's just a big column of data.
[0:45:32]  But now things get more interesting.
[0:45:34]  It turns out in SQL that there are functions
[0:45:37]  that come with this language, just like C, just like Python.
[0:45:40]  In SQL, some of the more useful ones, some of the simpler ones,
[0:45:44]  are these here, average, count, distinct, lower, max, min, upper,
[0:45:47]  which pretty much do what they say.
[0:45:50]  And count is a particularly useful one.
[0:45:53]  Let's start with that.
[0:45:54]  It's a reasonable question to be asked, how many people submitted to Google
[0:45:58]  Form by the time I actually downloaded the CSV?
[0:46:01]  Well, why don't we go ahead and do this?
[0:46:02]  Let me go back to VS Code here in my terminal window.
[0:46:05]  Let me select not star, but the count of star.
[0:46:09]  So give me the count of the rows that are being returned from the database
[0:46:15]  table called favorites.
[0:46:16]  Now when I hit Enter, I'm not going to get all the data.
[0:46:19]  I'm just going to get simply a number.
[0:46:21]  430 rows came back.
[0:46:24]  So that's pretty good.
[0:46:25]  I now know how much data is in there.
[0:46:27]  Well, what languages were in there?
[0:46:28]  Well, I could do select language from favorites, just as before.
[0:46:33]  But that's not that useful, especially if I'm inheriting the data.
[0:46:35]  Like, I'm the analyst who's been handed a data set by my boss,
[0:46:38]  and they want me to crunch some numbers.
[0:46:39]  OK, I could load this into Excel.
[0:46:42]  I could sort it.
[0:46:43]  But you can use SQL now to answer pretty basic questions, too.
[0:46:46]  If you want to select the distinct languages in the data set,
[0:46:50]  because you weren't privy to the Google Form,
[0:46:52]  let me go ahead and select only the distinct languages
[0:46:57]  from the favorites table.
[0:46:59]  And now I hit Enter, and I get back a much more succinct answer,
[0:47:02]  just the three languages in question.
[0:47:04]  Not really that useful since I created the Google Form.
[0:47:07]  But certainly, if you're inheriting data from someone else,
[0:47:09]  you've just downloaded a data set, at least now I'm arguably
[0:47:12]  wrapping my mind around what's going on.
[0:47:14]  Now, this is not necessary for such a small data set.
[0:47:17]  But I can combine these things, select the count
[0:47:20]  of the distinct languages in this data set called favorites.
[0:47:24]  And now I should get back what answer?
[0:47:27]  So hopefully, indeed, an answer called three.
[0:47:29]  And what you're getting back, notice, aesthetically, too,
[0:47:32]  is like a mini temporary table.
[0:47:34]  When I asked for just the distinct languages, what SQL hands me back
[0:47:39]  is this temporary table in memory that has one column called language
[0:47:43]  and then three rows.
[0:47:45]  Now, this is not saved anywhere.
[0:47:47]  It's just executed ephemerally like this.
[0:47:50]  But that's why it's depicted in this way.
[0:47:52]  What you're getting is subsets of your data, smaller tables
[0:47:55]  containing some of your data.
[0:47:57]  And same thing down here.
[0:47:58]  This is like a crazy long column name.
[0:48:00]  You can rename it if you really want.
[0:48:02]  But that's all we're seeing there.
[0:48:05]  And in fact, if that's a little ugly, we can actually alias these things.
[0:48:09]  N is a common name for a variable, a number in any programming language.
[0:48:14]  So I can actually alias this to be a column called N. Hit Enter.
[0:48:18]  And now I'm getting a tiny, tiny table whose column
[0:48:21]  is called N that just has the one value there.
[0:48:25]  All right, questions on these application of these functions here?
[0:48:34]  Questions, yeah?
[0:48:37]  Should I say a little louder?
[0:48:39]  Oh, as, as, literally in English.
[0:48:41]  So rename this column as this.
[0:48:45]  Technically, it creates an alias for the column.
[0:48:47]  So that's all.
[0:48:48]  Yeah?
[0:48:52]  Exactly.
[0:48:53]  Distinct will operate on whatever you hand it in parentheses
[0:48:56]  and get rid of all of the duplicates, giving you
[0:48:57]  back just the uniques.
[0:49:00]  Correct.
[0:49:00]  Other questions here?
[0:49:02]  Yeah?
[0:49:09]  Good question.
[0:49:10]  When you define an alias like N, which I just did,
[0:49:12]  does it become like a variable you can reuse?
[0:49:14]  Short answer, no, in this case.
[0:49:16]  But you can reuse it within your same query.
[0:49:19]  Even though these queries are getting a little longer, admittedly,
[0:49:23]  statements that they are, you can actually
[0:49:25]  reuse N in even longer queries, so later in your query.
[0:49:29]  And we'll see a few that are going to start to grow in length.
[0:49:32]  So it's a nice way of nicknaming things just to be
[0:49:35]  a little more terse in your query.
[0:49:37]  So we can transition to some of these more sophisticated queries
[0:49:40]  because it turns out there's some other techniques we can introduce as well.
[0:49:45]  Here are some other keywords in SQL.
[0:49:47]  And again, even though this is another list of things,
[0:49:49]  there's only four things fundamentally we're doing, creating, reading,
[0:49:52]  updating, and deleting data.
[0:49:54]  These are just allowing us to fine tune how we do it exactly.
[0:49:58]  So where is going to allow us to filter data,
[0:50:00]  as we'll do in just a moment?
[0:50:01]  Select data where this conditional is true.
[0:50:05]  Like is going to be an alternative to an equal sign.
[0:50:08]  So instead of looking for exactly scratch or exactly Python or exactly C,
[0:50:13]  you can look for something like dot, dot, dot.
[0:50:16]  And it can be a little bit of a fuzzier match, if you will,
[0:50:19]  with other characters as well.
[0:50:20]  Order by is going to deal with sorting.
[0:50:22]  Limit is going to just let me limit the total number of rows
[0:50:25]  that come back to 1 or 10 or finite if I don't want to see all 400
[0:50:29]  plus rows all at once, because I'm just trying to wrap my mind around it.
[0:50:32]  And group by is best shown by example.
[0:50:34]  So let's play with just a couple of these as well.
[0:50:36]  Let me go back to BS code here.
[0:50:38]  I'll clear my screen.
[0:50:39]  I'm still in the same SQLite instance.
[0:50:42]  And let's count how many of you like C without writing Python code as before.
[0:50:46]  So let me go ahead and select the count of the rows from favorites
[0:50:52]  where the language in each row equals C. And the convention in SQLite
[0:50:58]  is to use single quotes any time you're surrounding
[0:51:01]  a string that's meant to represent a literal piece of text as opposed
[0:51:05]  to C, which was double quotes, or Python, which was either.
[0:51:09]  So this is selecting the count of rows from favorites table
[0:51:13]  where the language in question is C. Enter.
[0:51:16]  And this gives me 98.
[0:51:18]  Notice, though, if I omit that predicate like we did before,
[0:51:21]  you'll get back the total number of rows that were in the table.
[0:51:26]  So where is what's called a predicate that just allows me to filter things,
[0:51:29]  just like an if condition or the like, in a language that we've seen before.
[0:51:33]  You can be a little more specific, like how many people really
[0:51:36]  liked C and the Mario problem specifically.
[0:51:41]  Well, let's do this.
[0:51:42]  Let's go ahead and do select the number of rows from the favorites table
[0:51:48]  where the language is C. And so it's still literally the word ands and or,
[0:51:55]  just like in Python, but not like in C. And problem equals Mario.
[0:52:00]  So let's see if there's any fans of both C and the Mario problem.
[0:52:04]  And three of us really like those two things together in this case.
[0:52:08]  All right, what else can we do?
[0:52:09]  Well, more compelling might be to see, kind of like in Python,
[0:52:12]  for each language, what was the popularity thereof.
[0:52:16]  And at the moment, we don't really have a way of doing that,
[0:52:18]  except in Python, where we had the loop and we
[0:52:20]  had those variables in the dictionary that
[0:52:22]  did all of that counting for us.
[0:52:23]  Totally doable, but tedious, especially if your job is to analyze data.
[0:52:27]  My god, like even writing 15 lines of code to answer simple questions
[0:52:30]  is kind of ridiculous.
[0:52:32]  SQL can do better for us.
[0:52:34]  So let me go ahead and do this.
[0:52:36]  Let me go ahead and select every language and the count thereof
[0:52:42]  from the favorites table, but this time group by language.
[0:52:48]  So this was another one of the keywords that we
[0:52:50]  can use in this abbreviated list of extra features of SQL.
[0:52:55]  And this one's a little, takes a moment to wrap your mind around,
[0:52:58]  but this is going to give me a two-column temporary table, where
[0:53:01]  the first column is the language, and the second column
[0:53:04]  is the count thereof from this data set.
[0:53:07]  And group by language just means that only show me scratch once,
[0:53:12]  only show me C once, only show me Python once,
[0:53:14]  that is group all of the identical values together,
[0:53:18]  but keep track of how many of them there are.
[0:53:21]  And so now, if I go over to SQLite and I hit Enter,
[0:53:27]  now I have in SQL version the exact same output
[0:53:30]  that I had from Python that took me, what, 15 plus lines before.
[0:53:34]  Now we're down to just one, because SQL, structured query language,
[0:53:38]  is all about constructing queries like this to answer questions and get back
[0:53:42]  answers quickly.
[0:53:43]  If we want to clean this up a little bit,
[0:53:45]  you asked earlier about sorting order, well, we can do that too.
[0:53:48]  There's another key phrase we can use here.
[0:53:51]  We can order by the count of those rows, and then run that query here.
[0:53:57]  So now, unfortunately, they're from smallest to biggest,
[0:53:59]  but we can reverse that.
[0:54:01]  It turns out, and my query is starting to wrap here.
[0:54:03]  I'll zoom out for a moment.
[0:54:04]  If you want to order by count, the default
[0:54:08]  is in ascending order, abbreviated ASC.
[0:54:11]  If you want to reverse the sort in SQL, instead of using reverse
[0:54:14]  equals true, like we did in Python, you say DESC for descending order.
[0:54:18]  And now we get almost the same output, but flipped in reverse.
[0:54:22]  So it's just a lot faster to answer questions once, of course,
[0:54:24]  you get some muscle memory and some comfort with it.
[0:54:27]  Well, what else can I do?
[0:54:28]  You know, what if I just care about the most popular language?
[0:54:31]  I don't care about the second place or the third place languages
[0:54:34]  or anything else.
[0:54:35]  Well, let me add one more clause here.
[0:54:37]  Limit the answer to one.
[0:54:39]  And no matter how many rows should come back now,
[0:54:41]  I just get the number one language as of the data set
[0:54:44]  we collected with 270 votes for it.
[0:54:50]  Questions on this?
[0:54:54]  Any questions here?
[0:54:57]  No?
[0:54:58]  Well, what if we're starting to introduce SQL,
[0:55:01]  and it was kind of too late to make it into the Google Form?
[0:55:04]  So it turns out there's syntax for this, too.
[0:55:06]  You can create data, of course, not just the tables, but the data they're in.
[0:55:10]  And here's the typical syntax for inserting data into a SQL database.
[0:55:14]  You literally say, insert into the name of the table.
[0:55:17]  And then in parentheses, you specify one or more columns
[0:55:20]  for which you have values that you want to insert.
[0:55:23]  This is to say, you don't have to give values for every column
[0:55:27]  in the given row.
[0:55:28]  If you only have answers to some of those questions,
[0:55:30]  you can enumerate them here like this.
[0:55:32]  But the values you insert are going to be these.
[0:55:34]  So you literally say, after the closed parentheses, values.
[0:55:38]  And then in a second set of parentheses with the same length comma separated
[0:55:42]  you specify what values do you want to insert.
[0:55:44]  So it's a little verbose.
[0:55:46]  And frankly, longer term, you're going to use Python code
[0:55:48]  to automatically do these kinds of insertions.
[0:55:50]  But let's go ahead and try this.
[0:55:52]  Right now, if I do select distinct language from favorites again,
[0:56:00]  we see this, just these three candidates.
[0:56:02]  But we've now taught you a bit of SQL.
[0:56:04]  So let's do insert into favorites, the column called language.
[0:56:11]  And you know what?
[0:56:13]  I'm going to give a problem here.
[0:56:14]  The values for which, and let me zoom back out,
[0:56:16]  are going to be quote unquote SQL and quote unquote 50-ville.
[0:56:20]  You'll soon see what that's all about.
[0:56:22]  Semicolon.
[0:56:23]  Nothing seems to happen, but that's usually a good thing.
[0:56:27]  And now if I scroll back up in my queries in SQLite 3,
[0:56:29]  you can scroll back and forth in time to avoid retyping things.
[0:56:33]  Now I should see, indeed, four candidate languages here.
[0:56:37]  Now suppose that you were never really a fan of C
[0:56:40]  and maybe you programmed a little bit in high school or in the real world,
[0:56:43]  and you liked C++.
[0:56:45]  Well, there's a whole lot of answers for C. So select star from favorites
[0:56:52]  where language equals quote unquote C. So here's
[0:56:56]  everyone who submitted the answer for C. Let's presume that, no, they didn't
[0:57:00]  really want C. They wanted C++, which is not a language
[0:57:03]  we teach in the class.
[0:57:04]  But I could also now do this.
[0:57:06]  You can use the update command to set a column or columns
[0:57:10]  to different values where some condition is met.
[0:57:12]  So if I do update table name, set column name equal to some value,
